,Sentence,Word,POS,Tag
"
189, 10,cancer,NN,"|B-DISEASE
"
190, 10,.,.,"|O
"
191, 11,A,DT,"|O
"
192, 11,common,JJ,"|O
"
193, 11,MSH2,NN,"|O
"
194, 11,mutation,NN,"|O
"
195, 11,in,IN,"|O
"
196, 11,English,JJ,"|O
"
197, 11,and,CC,"|O
"
198, 11,North,NN,"|O
"
199, 11,American,JJ,"|O
"
200, 11,HNPCC,NN,"|B-DISEASE
"
201, 11,families:,NN,"|O
"
202, 11,"origin,",NN,"|O
"
203, 11,phenotypic,NN,"|O
"
204, 11,"expression,",NN,"|O
"
205, 11,and,CC,"|O
"
206, 11,sex,NN,"|O
"
207, 11,specific,JJ,"|O
"
208, 11,differences,NNS,"|O
"
209, 11,in,IN,"|O
"
210, 11,colorectal,NN,"|B-DISEASE
"
211, 11,cancer,NN,"|I-DISEASE
"
212, 11,.,.,"|O
"
213, 12,The,DT,"|O
"
214, 12,frequency,NN,"|O
"
215, 12,",",",","|O
"
216, 12,origin,NN,"|O
"
217, 12,",",",","|O
"
218, 12,and,CC,"|O
"
219, 12,phenotypic,NN,"|O
"
220, 12,expression,NN,"|O
"
221, 12,of,IN,"|O
"
222, 12,a,DT,"|O
"
223, 12,germline,NN,"|O
"
224, 12,MSH2,NN,"|O
"
225, 12,gene,NN,"|O
"
226, 12,mutation,NN,"|O
"
227, 12,previously,RB,"|O
"
228, 12,identified,VBN,"|O
"
229, 12,in,IN,"|O
"
230, 12,seven,CD,"|O
"
231, 12,kindreds,NNS,"|O
"
232, 12,with,IN,"|O
"
233, 12,hereditary,NN,"|B-DISEASE
"
234, 12,non-polyposis,NN,"|I-DISEASE
"
235, 12,cancer,NN,"|I-DISEASE
"
236, 12,syndrome,NN,"|I-DISEASE
"
237, 12,(,(,"|O
"
238, 12,HNPCC,NN,"|B-DISEASE
"
239, 12,),),"|O
"
240, 12,was,VBD,"|O
"
241, 12,investigated,VBN,"|O
"
242, 12,.,.,"|O
"
243, 13,The,DT,"|O
"
244, 13,mutation,NN,"|O
"
245, 13,(,(,"|O
"
246, 13,A--,JJ,"|O
"
247, 13,>,NN,"|O
"
248, 13,T,NN,"|O
"
249, 13,at,IN,"|O
"
250, 13,nt943,NN,"|O
"
251, 13,+,NN,"|O
"
252, 13,3,CD,"|O
"
253, 13,),),"|O
"
254, 13,disrupts,NNS,"|O
"
255, 13,the,DT,"|O
"
256, 13,3,CD,"|O
"
257, 13,splice,NN,"|O
"
258, 13,site,NN,"|O
"
259, 13,of,IN,"|O
"
260, 13,exon,NN,"|O
"
261, 13,5,CD,"|O
"
262, 13,leading,VBG,"|O
"
263, 13,to,TO,"|O
"
264, 13,the,DT,"|O
"
265, 13,deletion,NN,"|O
"
266, 13,of,IN,"|O
"
267, 13,this,DT,"|O
"
268, 13,exon,NN,"|O
"
269, 13,from,IN,"|O
"
270, 13,MSH2,NN,"|O
"
271, 13,mRNA,NN,"|O
"
272, 13,and,CC,"|O
"
273, 13,represents,VBZ,"|O
"
274, 13,the,DT,"|O
"
275, 13,only,RB,"|O
"
276, 13,frequent,NN,"|O
"
277, 13,MSH2,NN,"|O
"
278, 13,mutation,NN,"|O
"
279, 13,so,RB,"|O
"
280, 13,far,RB,"|O
"
281, 13,reported,VBD,"|O
"
282, 13,.,.,"|O
"
283, 14,Although,IN,"|O
"
284, 14,this,DT,"|O
"
285, 14,mutation,NN,"|O
"
286, 14,was,VBD,"|O
"
287, 14,initially,RB,"|O
"
288, 14,detected,VBN,"|O
"
289, 14,in,IN,"|O
"
290, 14,four,CD,"|O
"
291, 14,of,IN,"|O
"
292, 14,33,CD,"|O
"
293, 14,colorectal,NN,"|B-DISEASE
"
294, 14,cancer,NN,"|I-DISEASE
"
295, 14,families,NNS,"|O
"
296, 14,analysed,VBN,"|O
"
297, 14,from,IN,"|O
"
298, 14,eastern,JJ,"|O
"
299, 14,England,NNP,"|O
"
300, 14,",",",","|O
"
301, 14,more,RBR,"|O
"
302, 14,extensive,JJ,"|O
"
303, 14,analysis,NN,"|O
"
304, 14,has,VBZ,"|O
"
305, 14,reduced,VBN,"|O
"
306, 14,the,DT,"|O
"
307, 14,frequency,NN,"|O
"
308, 14,to,TO,"|O
"
309, 14,four,CD,"|O
"
310, 14,of,IN,"|O
"
311, 14,52,CD,"|O
"
312, 14,(,(,"|O
"
313, 14,8,CD,"|O
"
314, 14,%,NN,"|O
"
315, 14,),),"|O
"
316, 14,English,JJ,"|O
"
317, 14,HNPCC,NN,"|B-DISEASE
"
318, 14,kindreds,NNS,"|O
"
319, 14,analysed,VBN,"|O
"
320, 14,.,.,"|O
"
321, 15,In,IN,"|O
"
322, 15,contrast,NN,"|O
"
323, 15,",",",","|O
"
324, 15,the,DT,"|O
"
325, 15,MSH2,NN,"|O
"
326, 15,mutation,NN,"|O
"
327, 15,was,VBD,"|O
"
328, 15,identified,VBN,"|O
"
329, 15,in,IN,"|O
"
330, 15,10,CD,"|O
"
331, 15,of,IN,"|O
"
332, 15,20,CD,"|O
"
333, 15,(,(,"|O
"
334, 15,50,CD,"|O
"
335, 15,%,NN,"|O
"
336, 15,),),"|O
"
337, 15,separately,RB,"|O
"
338, 15,identified,VBN,"|O
"
339, 15,colorectal,NN,"|B-DISEASE
"
340, 15,families,NNS,"|O
"
341, 15,from,IN,"|O
"
342, 15,Newfoundland,NN,"|O
"
343, 15,.,.,"|O
"
344, 16,To,TO,"|O
"
345, 16,investigate,NN,"|O
"
346, 16,the,DT,"|O
"
347, 16,origin,NN,"|O
"
348, 16,of,IN,"|O
"
349, 16,this,DT,"|O
"
350, 16,mutation,NN,"|O
"
351, 16,in,IN,"|O
"
352, 16,colorectal,NN,"|B-DISEASE
"
353, 16,cancer,NN,"|I-DISEASE
"
354, 16,families,NNS,"|O
"
355, 16,from,IN,"|O
"
356, 16,England,NNP,"|O
"
357, 16,(,(,"|O
"
358, 16,n,NN,"|O
"
359, 16,=,NN,"|O
"
360, 16,4,CD,"|O
"
361, 16,),),"|O
"
362, 16,",",",","|O
"
363, 16,Newfoundland,NN,"|O
"
364, 16,(,(,"|O
"
365, 16,n,NN,"|O
"
366, 16,=,NN,"|O
"
367, 16,10,CD,"|O
"
368, 16,),),"|O
"
369, 16,",",",","|O
"
370, 16,and,CC,"|O
"
371, 16,the,DT,"|O
"
372, 16,United,NNP,"|O
"
373, 16,States,NNS,"|O
"
374, 16,(,(,"|O
"
375, 16,n,NN,"|O
"
376, 16,=,NN,"|O
"
377, 16,3,CD,"|O
"
378, 16,),),"|O
"
379, 16,",",",","|O
"
380, 16,haplotype,NN,"|O
"
381, 16,analysis,NN,"|O
"
382, 16,using,VBG,"|O
"
383, 16,microsatellite,NN,"|O
"
384, 16,markers,NNS,"|O
"
385, 16,linked,VBN,"|O
"
386, 16,to,TO,"|O
"
387, 16,MSH2,NN,"|O
"
388, 16,was,VBD,"|O
"
389, 16,performed,VBN,"|O
"
390, 16,.,.,"|O
"
391, 17,Within,IN,"|O
"
392, 17,the,DT,"|O
"
393, 17,English,JJ,"|O
"
394, 17,and,CC,"|O
"
395, 17,US,NN,"|O
"
396, 17,families,NNS,"|O
"
397, 17,there,RB,"|O
"
398, 17,was,VBD,"|O
"
399, 17,little,JJ,"|O
"
400, 17,evidence,NN,"|O
"
401, 17,for,IN,"|O
"
402, 17,a,DT,"|O
"
403, 17,recent,JJ,"|O
"
404, 17,common,JJ,"|O
"
405, 17,origin,NN,"|O
"
406, 17,of,IN,"|O
"
407, 17,the,DT,"|O
"
408, 17,MSH2,NN,"|O
"
409, 17,splice,NN,"|O
"
410, 17,site,NN,"|O
"
411, 17,mutation,NN,"|O
"
412, 17,in,IN,"|O
"
413, 17,most,JJS,"|O
"
414, 17,families,NNS,"|O
"
415, 17,.,.,"|O
"
416, 18,In,IN,"|O
"
417, 18,contrast,NN,"|O
"
418, 18,",",",","|O
"
419, 18,a,DT,"|O
"
420, 18,common,JJ,"|O
"
421, 18,haplotype,NN,"|O
"
422, 18,was,VBD,"|O
"
423, 18,identified,VBN,"|O
"
424, 18,at,IN,"|O
"
425, 18,the,DT,"|O
"
426, 18,two,CD,"|O
"
427, 18,flanking,VBG,"|O
"
428, 18,markers,NNS,"|O
"
429, 18,(,(,"|O
"
430, 18,CA5,NN,"|O
"
431, 18,and,CC,"|O
"
432, 18,D2S288,NN,"|O
"
433, 18,),),"|O
"
434, 18,in,IN,"|O
"
435, 18,eight,CD,"|O
"
436, 18,of,IN,"|O
"
437, 18,the,DT,"|O
"
438, 18,Newfoundland,NN,"|O
"
439, 18,families,NNS,"|O
"
440, 18,.,.,"|O
"
441, 19,These,DT,"|O
"
442, 19,findings,NNS,"|O
"
443, 19,suggested,VBN,"|O
"
444, 19,a,DT,"|O
"
445, 19,founder,NN,"|O
"
446, 19,effect,NN,"|O
"
447, 19,within,IN,"|O
"
448, 19,Newfoundland,NN,"|O
"
449, 19,similar,JJ,"|O
"
450, 19,to,TO,"|O
"
451, 19,that,IN,"|O
"
452, 19,reported,VBD,"|O
"
453, 19,by,IN,"|O
"
454, 19,others,NNS,"|O
"
455, 19,for,IN,"|O
"
456, 19,two,CD,"|O
"
457, 19,MLH1,NN,"|O
"
458, 19,mutations,NNS,"|O
"
459, 19,in,IN,"|O
"
460, 19,Finnish,JJ,"|O
"
461, 19,HNPCC,NN,"|B-DISEASE
"
462, 19,families,NNS,"|O
"
463, 19,.,.,"|O
"
464, 20,We,PRP,"|O
"
465, 20,calculated,VBN,"|O
"
466, 20,age,NN,"|O
"
467, 20,related,JJ,"|O
"
468, 20,risks,NNS,"|O
"
469, 20,of,IN,"|O
"
470, 20,all,DT,"|O
"
471, 20,",",",","|O
"
472, 20,colorectal,NN,"|B-DISEASE
"
473, 20,",",",","|I-DISEASE
"
474, 20,endometrial,JJ,"|I-DISEASE
"
475, 20,",",",","|I-DISEASE
"
476, 20,and,CC,"|I-DISEASE
"
477, 20,ovarian,JJ,"|I-DISEASE
"
478, 20,cancers,NNS,"|I-DISEASE
"
479, 20,in,IN,"|O
"
480, 20,nt943,NN,"|O
"
481, 20,+,NN,"|O
"
482, 20,3,CD,"|O
"
483, 20,A--,JJ,"|O
"
484, 20,>,NN,"|O
"
485, 20,T,NN,"|O
"
486, 20,MSH2,NN,"|O
"
487, 20,mutation,NN,"|O
"
488, 20,carriers,NNS,"|O
"
489, 20,(,(,"|O
"
490, 20,n,NN,"|O
"
491, 20,=,NN,"|O
"
492, 20,76,CD,"|O
"
493, 20,),),"|O
"
494, 20,for,IN,"|O
"
495, 20,all,DT,"|O
"
496, 20,patients,NNS,"|O
"
497, 20,and,CC,"|O
"
498, 20,for,IN,"|O
"
499, 20,men,NNS,"|O
"
500, 20,and,CC,"|O
"
501, 20,women,NNS,"|O
"
502, 20,separately,RB,"|O
"
503, 20,.,.,"|O
"
504, 21,For,IN,"|O
"
505, 21,both,DT,"|O
"
506, 21,sexes,NNS,"|O
"
507, 21,combined,VBN,"|O
"
508, 21,",",",","|O
"
509, 21,the,DT,"|O
"
510, 21,penetrances,NNS,"|O
"
511, 21,at,IN,"|O
"
512, 21,age,NN,"|O
"
513, 21,60,CD,"|O
"
514, 21,years,NNS,"|O
"
515, 21,for,IN,"|O
"
516, 21,all,DT,"|O
"
517, 21,cancers,NNS,"|B-DISEASE
"
518, 21,and,CC,"|O
"
519, 21,for,IN,"|O
"
520, 21,colorectal,NN,"|B-DISEASE
"
521, 21,cancer,NN,"|I-DISEASE
"
522, 21,were,VBD,"|O
"
523, 21,0,CD,"|O
"
524, 21,.,.,"|O
"
525, 22,86,CD,"|O
"
526, 22,and,CC,"|O
"
527, 22,0,CD,"|O
"
528, 22,.,.,"|O
"
529, 23,57,CD,"|O
"
530, 23,",",",","|O
"
531, 23,respectively,RB,"|O
"
532, 23,.,.,"|O
"
533, 24,The,DT,"|O
"
534, 24,risk,NN,"|O
"
535, 24,of,IN,"|O
"
536, 24,colorectal,NN,"|B-DISEASE
"
537, 24,cancer,NN,"|I-DISEASE
"
538, 24,was,VBD,"|O
"
539, 24,significantly,RB,"|O
"
540, 24,higher,JJR,"|O
"
541, 24,(,(,"|O
"
542, 24,p,NN,"|O
"
543, 24,<,NN,"|O
"
544, 24,0,CD,"|O
"
545, 24,.,.,"|O
"
546, 25,01,CD,"|O
"
547, 25,),),"|O
"
548, 25,in,IN,"|O
"
549, 25,males,NNS,"|O
"
550, 25,than,IN,"|O
"
551, 25,females,NNS,"|O
"
552, 25,(,(,"|O
"
553, 25,0,CD,"|O
"
554, 25,.,.,"|O
"
555, 26,63,CD,"|O
"
556, 26,v,NN,"|O
"
557, 26,0,CD,"|O
"
558, 26,.,.,"|O
"
559, 27,30,CD,"|O
"
560, 27,and,CC,"|O
"
561, 27,0,CD,"|O
"
562, 27,.,.,"|O
"
563, 28,84,CD,"|O
"
564, 28,v,NN,"|O
"
565, 28,0,CD,"|O
"
566, 28,.,.,"|O
"
567, 29,44,CD,"|O
"
568, 29,at,IN,"|O
"
569, 29,ages,NNS,"|O
"
570, 29,50,CD,"|O
"
571, 29,and,CC,"|O
"
572, 29,60,CD,"|O
"
573, 29,years,NNS,"|O
"
574, 29,",",",","|O
"
575, 29,respectively,RB,"|O
"
576, 29,),),"|O
"
577, 29,.,.,"|O
"
578, 30,For,IN,"|O
"
579, 30,females,NNS,"|O
"
580, 30,there,RB,"|O
"
581, 30,was,VBD,"|O
"
582, 30,a,DT,"|O
"
583, 30,high,JJ,"|O
"
584, 30,risk,NN,"|O
"
585, 30,of,IN,"|O
"
586, 30,endometrial,JJ,"|B-DISEASE
"
587, 30,cancer,NN,"|I-DISEASE
"
588, 30,(,(,"|O
"
589, 30,0,CD,"|O
"
590, 30,.,.,"|O
"
591, 31,5,CD,"|O
"
592, 31,at,IN,"|O
"
593, 31,age,NN,"|O
"
594, 31,60,CD,"|O
"
595, 31,years,NNS,"|O
"
596, 31,),),"|O
"
597, 31,and,CC,"|O
"
598, 31,premenopausal,NN,"|B-DISEASE
"
599, 31,ovarian,JJ,"|I-DISEASE
"
600, 31,cancer,NN,"|I-DISEASE
"
601, 31,(,(,"|O
"
602, 31,0,CD,"|O
"
603, 31,.,.,"|O
"
604, 32,2,CD,"|O
"
605, 32,at,IN,"|O
"
606, 32,50,CD,"|O
"
607, 32,years,NNS,"|O
"
608, 32,),),"|O
"
609, 32,.,.,"|O
"
610, 33,These,DT,"|O
"
611, 33,intersex,NN,"|O
"
612, 33,differences,NNS,"|O
"
613, 33,in,IN,"|O
"
614, 33,colorectal,NN,"|B-DISEASE
"
615, 33,cancer,NN,"|I-DISEASE
"
616, 33,risks,NNS,"|O
"
617, 33,have,VB,"|O
"
618, 33,implications,NNS,"|O
"
619, 33,for,IN,"|O
"
620, 33,screening,VBG,"|O
"
621, 33,programmes,NNS,"|O
"
622, 33,and,CC,"|O
"
623, 33,for,IN,"|O
"
624, 33,attempts,NNS,"|O
"
625, 33,to,TO,"|O
"
626, 33,identify,VB,"|O
"
627, 33,colorectal,NN,"|B-DISEASE
"
628, 33,cancer,NN,"|I-DISEASE
"
629, 33,susceptibility,NN,"|O
"
630, 33,modifiers,NNS,"|O
"
631, 33,.,.,"|O
"
632, 34,Age,NN,"|O
"
633, 34,of,IN,"|O
"
634, 34,onset,NN,"|O
"
635, 34,in,IN,"|O
"
636, 34,Huntington,NNP,"|B-DISEASE
"
637, 34,disease,NN,"|I-DISEASE
"
638, 34,:,:,"|O
"
639, 34,sex,NN,"|O
"
640, 34,specific,JJ,"|O
"
641, 34,influence,NN,"|O
"
642, 34,of,IN,"|O
"
643, 34,apolipoprotein,NN,"|O
"
644, 34,E,NN,"|O
"
645, 34,genotype,NN,"|O
"
646, 34,and,CC,"|O
"
647, 34,normal,JJ,"|O
"
648, 34,CAG,NN,"|O
"
649, 34,repeat,NN,"|O
"
650, 34,length,NN,"|O
"
651, 34,.,.,"|O
"
652, 35,Age,NN,"|O
"
653, 35,of,IN,"|O
"
654, 35,onset,NN,"|O
"
655, 35,(,(,"|O
"
656, 35,AO,NN,"|O
"
657, 35,),),"|O
"
658, 35,of,IN,"|O
"
659, 35,Huntington,NNP,"|B-DISEASE
"
660, 35,disease,NN,"|I-DISEASE
"
661, 35,(,(,"|O
"
662, 35,HD,NN,"|B-DISEASE
"
663, 35,),),"|O
"
664, 35,is,VBZ,"|O
"
665, 35,known,VBN,"|O
"
666, 35,to,TO,"|O
"
667, 35,be,VB,"|O
"
668, 35,correlated,VBN,"|O
"
669, 35,with,IN,"|O
"
670, 35,the,DT,"|O
"
671, 35,length,NN,"|O
"
672, 35,of,IN,"|O
"
673, 35,an,DT,"|O
"
674, 35,expanded,VBN,"|O
"
675, 35,CAG,NN,"|O
"
676, 35,repeat,NN,"|O
"
677, 35,in,IN,"|O
"
678, 35,the,DT,"|O
"
679, 35,HD,NN,"|B-DISEASE
"
680, 35,gene,NN,"|O
"
681, 35,.,.,"|O
"
682, 36,Apolipoprotein,NNP,"|O
"
683, 36,E,NN,"|O
"
684, 36,(,(,"|O
"
685, 36,APOE,NN,"|O
"
686, 36,),),"|O
"
687, 36,genotype,NN,"|O
"
688, 36,",",",","|O
"
689, 36,in,IN,"|O
"
690, 36,turn,NN,"|O
"
691, 36,",",",","|O
"
692, 36,is,VBZ,"|O
"
693, 36,known,VBN,"|O
"
694, 36,to,TO,"|O
"
695, 36,influence,NN,"|O
"
696, 36,AO,NN,"|O
"
697, 36,in,IN,"|O
"
698, 36,Alzheimer,NN,"|B-DISEASE
"
699, 36,disease,NN,"|I-DISEASE
"
700, 36,",",",","|O
"
701, 36,rendering,VBG,"|O
"
702, 36,the,DT,"|O
"
703, 36,APOE,NN,"|O
"
704, 36,gene,NN,"|O
"
705, 36,a,DT,"|O
"
706, 36,likely,JJ,"|O
"
707, 36,candidate,NN,"|O
"
708, 36,to,TO,"|O
"
709, 36,affect,NN,"|O
"
710, 36,AO,NN,"|O
"
711, 36,in,IN,"|O
"
712, 36,other,JJ,"|O
"
713, 36,neurological,JJ,"|B-DISEASE
"
714, 36,diseases,NNS,"|I-DISEASE
"
715, 36,too,RB,"|O
"
716, 36,.,.,"|O
"
717, 37,We,PRP,"|O
"
718, 37,therefore,RB,"|O
"
719, 37,determined,VBN,"|O
"
720, 37,APOE,NN,"|O
"
721, 37,genotype,NN,"|O
"
722, 37,and,CC,"|O
"
723, 37,normal,JJ,"|O
"
724, 37,CAG,NN,"|O
"
725, 37,repeat,NN,"|O
"
726, 37,length,NN,"|O
"
727, 37,in,IN,"|O
"
728, 37,the,DT,"|O
"
729, 37,HD,NN,"|B-DISEASE
"
730, 37,gene,NN,"|O
"
731, 37,for,IN,"|O
"
732, 37,138,CD,"|O
"
733, 37,HD,NN,"|B-DISEASE
"
734, 37,patients,NNS,"|O
"
735, 37,who,WP,"|O
"
736, 37,were,VBD,"|O
"
737, 37,previously,RB,"|O
"
738, 37,analysed,VBN,"|O
"
739, 37,with,IN,"|O
"
740, 37,respect,NN,"|O
"
741, 37,to,TO,"|O
"
742, 37,CAG,NN,"|O
"
743, 37,repeat,NN,"|O
"
744, 37,length,NN,"|O
"
745, 37,.,.,"|O
"
746, 38,Genotyping,VBG,"|O
"
747, 38,for,IN,"|O
"
748, 38,APOE,NN,"|O
"
749, 38,was,VBD,"|O
"
750, 38,performed,VBN,"|O
"
751, 38,blind,NN,"|O
"
752, 38,to,TO,"|O
"
753, 38,clinical,JJ,"|O
"
754, 38,information,NN,"|O
"
755, 38,.,.,"|O
"
756, 39,In,IN,"|O
"
757, 39,addition,NN,"|O
"
758, 39,to,TO,"|O
"
759, 39,highlighting,VBG,"|O
"
760, 39,the,DT,"|O
"
761, 39,effect,NN,"|O
"
762, 39,of,IN,"|O
"
763, 39,the,DT,"|O
"
764, 39,normal,JJ,"|O
"
765, 39,repeat,NN,"|O
"
766, 39,length,NN,"|O
"
767, 39,upon,IN,"|O
"
768, 39,AO,NN,"|O
"
769, 39,in,IN,"|O
"
770, 39,maternally,RB,"|O
"
771, 39,inherited,VBN,"|O
"
772, 39,HD,NN,"|B-DISEASE
"
773, 39,and,CC,"|O
"
774, 39,in,IN,"|O
"
775, 39,male,NN,"|O
"
776, 39,patients,NNS,"|O
"
777, 39,",",",","|O
"
778, 39,we,PRP,"|O
"
779, 39,show,NN,"|O
"
780, 39,that,IN,"|O
"
781, 39,the,DT,"|O
"
782, 39,APOE,NN,"|O
"
783, 39,epsilon2epsilon3,NN,"|O
"
784, 39,genotype,NN,"|O
"
785, 39,is,VBZ,"|O
"
786, 39,associated,VBN,"|O
"
787, 39,with,IN,"|O
"
788, 39,significantly,RB,"|O
"
789, 39,earlier,RBR,"|O
"
790, 39,AO,NN,"|O
"
791, 39,in,IN,"|O
"
792, 39,males,NNS,"|O
"
793, 39,than,IN,"|O
"
794, 39,in,IN,"|O
"
795, 39,females,NNS,"|O
"
796, 39,.,.,"|O
"
797, 40,Such,JJ,"|O
"
798, 40,a,DT,"|O
"
799, 40,sex,NN,"|O
"
800, 40,difference,NN,"|O
"
801, 40,in,IN,"|O
"
802, 40,AO,NN,"|O
"
803, 40,was,VBD,"|O
"
804, 40,not,RB,"|O
